用户ID,movie_id,评分
1,20762,2
3,5478,4
4,7687,2
5,3859,2
6,13035,4
8,2512,4
10,19920,4
11,2139,4
12,12002,4
13,1269,4
14,16693,2
15,14411,4
16,7010,4
17,8690,4
18,16077,4
19,8686,4
20,3795,4
21,8233,4
22,14088,4
23,11052,4
24,15261,4
25,15385,4
26,9559,4
27,13172,4
28,18372,4
29,16129,4
30,4833,4
31,10968,4
32,9345,4
33,17459,4
34,16241,4
35,3814,4
36,18568,4
38,3687,2
39,1916,4
40,18648,4
41,4678,4
42,5791,4
43,21352,4
44,10816,4
45,1184,2
46,7666,4
48,18822,4
49,8160,2
50,13581,4
51,1280,4
53,1307,4
54,14555,4
55,7332,4
56,14560,4
57,14984,4
58,11817,4
59,22039,4
60,11853,4
61,17358,4
62,609,4
63,7388,4
64,9021,4
65,4961,4
66,21578,2
68,3567,4
69,130,4
70,6232,4
71,17928,4
72,6696,4
73,2783,4
74,807,4
75,8803,4
76,1676,4
77,2247,4
79,1282,2
80,18210,4
82,12951,4
83,19252,2
84,11139,4
85,16779,4
86,9707,2
87,5437,4
88,2427,4
90,3334,4
91,2976,4
92,19581,4
93,6750,4
94,12656,4
95,12174,4
96,2155,4
97,13547,4
98,15198,2
99,22634,2
100,6602,4
102,10451,4
103,3660,2
104,19314,4
105,14539,2
106,21262,4
107,19867,4
108,19338,4
109,18723,4
111,6817,4
114,15143,4
115,240,4
116,22496,4
118,16461,4
119,11961,2
121,8000,4
123,4980,4
124,20675,4
126,6887,4
127,13470,4
128,18260,4
129,9714,2
131,8115,4
132,19107,4
133,6031,4
134,13104,4
135,11713,4
136,14226,4
138,1099,4
143,19672,4
145,10534,4
147,21459,2
149,2413,4
151,21356,4
153,15224,4
154,4119,4
156,14627,4
157,16973,4
159,11491,4
160,11119,2
162,19224,4
163,8274,4
164,6889,4
166,15710,4
167,8456,4
168,8662,4
169,12039,4
172,18019,4
174,21124,4
175,5623,4
176,3132,4
177,12703,2
179,21400,4
181,18557,4
182,965,2
186,4021,2
187,4746,4
190,14248,4
191,7496,4
192,15910,4
196,17713,4
198,12157,2
199,17663,4
201,16648,4
203,8575,4
205,10541,4
206,7866,4
208,1622,4
209,7941,4
211,10238,2
212,21459,2
213,4971,4
214,6104,4
215,11670,2
217,20084,4
223,9862,2
226,3410,2
227,6823,4
230,16972,4
236,3961,4
237,20278,4
238,14731,4
240,16299,4
241,4986,4
243,19010,2
246,17977,2
248,15059,4
251,14837,4
253,6656,4
255,22911,4
257,18441,4
259,12668,2
263,17288,4
266,11429,4
267,21158,2
272,21479,4
273,5563,2
274,6687,4
275,17009,4
251,6676,4
